rank,company,domain,industry,revenue_usd,employees,city,state,careers_url,ats,ats_url,tier_recommendation,confidence
234,Carvana,carvana.com,Retail & Consumer Goods,18300000000,17400,Tempe,Arizona,,custom,,tier2_llm_http,low
235,Global Partners,globalp.com,Energy & Utilities,18100000000,3833,Waltham,Massachusetts,https://www.globalp.com/who-we-are/careers,custom,,tier2_llm_http,medium
236,Edison International,edisoninvestor.com,Energy & Utilities,18100000000,14013,Rosemead,California,https://www.edison.com/investors,successfactors,https://career8.successfactors.com/career?company=C0003043182P&site=&lang=en_US&login_ns=login&loginFlowRequired=true,tier4_custom_build,high
237,Emerson Electric,emerson.com,Manufacturing & Industrial,18000000000,73000,St. Louis,Missouri,https://www.emerson.cn/zh/corporate/careers,oracle_recruiting,https://hdjq.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs#xd_co_f=NGViM2FkN2YtYjFmYi00ZDc4LWIyODAtN2MzMWU3MWI0NWMw~,tier1_ats,high
238,Asbury Automotive,asburyauto.com,Retail & Consumer Goods,17800000000,15000,Duluth,Georgia,,custom,,tier2_llm_http,low
239,W.W. Grainger,grainger.com,Other,17800000000,25000,Lake Forest,Illinois,https://jobs.grainger.com,successfactors,https://performancemanager8.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,tier3_llm_browser,medium
240,Aflac,aflac.com,Insurance,17700000000,12694,Columbus,Georgia,https://careers.aflac.com,successfactors,https://performancemanager4.successfactors.com/verp/vmod_v1/ui/extlib/jquery_3.5.1/jquery.js,tier3_llm_browser,medium
241,Manpower,manpowergroup.com,Other,17600000000,26700,Milwaukee,Wisconsin,https://www.manpowergroup.com/careers,custom,,tier2_llm_http,medium
242,Steel Dynamics,steeldynamics.com,Manufacturing & Industrial,17600000000,13000,Fort Wayne,Indiana,https://www.steeldynamics.com/careersnew/,icims,https://careers-steeldynamics.icims.com/,tier1_ats,high
243,Pulte,pultegroupinc.com,Other,17600000000,6793,Atlanta,Georgia,https://pultegroupinc.com/careers/opportunities/default.aspx,workday,https://pultegroup.wd1.myworkdayjobs.com/PGI,tier1_ats,high
244,Discover Financial,discover.com,Banking & Financial Services,17500000000,21000,Riverwoods,Illinois,https://www.discover.com/careers/,eightfold,https://capitalone.eightfold.ai/events/open?domain=capitalone.com,tier1_ats,high
245,Corteva,corteva.com,Retail & Consumer Goods,17500000000,22000,Indianapolis,Indiana,https://careers.corteva.com,eightfold,https://corteva.eightfold.ai/events/open?domain=corteva.com&#038;utm_source=event,tier1_ats,high
246,O'Reilly Automotive,oreillyauto.com,Retail & Consumer Goods,17500000000,85579,Springfield,Missouri,https://careers.oreillyauto.com/us/en,phenom,,tier1_ats,medium
247,Targa Resources,targaresources.com,Other,17400000000,3370,Houston,Texas,https://www.targaresources.com/careers/careers-overview,custom,,tier2_llm_http,low
248,Leidos,leidos.com,Technology,17300000000,48000,Reston,Virginia,,custom,,tier2_llm_http,low
249,MGM Resorts International,mgmresorts.com,Other,17300000000,69000,Las Vegas,Nevada,https://careers.mgmresorts.com/,custom,,tier2_llm_http,medium
250,Texas Instruments,ti.com,Technology,17300000000,34000,Dallas,Texas,https://careers.ti.com/en/sites/CX,oracle_recruiting,https://edbz.fa.us2.oraclecloud.com:443/hcmRestApi/CandidateExperience/siteFavicon/favicon-16x16.png?siteNumber=CX&size=16x16,tier1_ats,medium
251,Vistra,vistracorp.com,Energy & Utilities,17200000000,6850,Irving,Texas,https://vistracorp.com/careers/,workday,https://vst.wd5.myworkdayjobs.com/en-US/vistra_careers,tier1_ats,high
252,Murphy USA,murphyusa.com,Retail & Consumer Goods,17000000000,11550,El Dorado,Arkansas,,custom,,tier2_llm_http,low
253,Universal Health Services,uhs.com,Healthcare & Pharma,17000000000,87500,King of Prussia,Pennsylvania,https://jobs.uhs.com/careers/,icims,https://careers-uhsinc.icims.com/jobs/login?loginOnly=1&redirect=&hashed=-626005006,tier1_ats,high
254,Casey's General Stores,caseys.com,Retail & Consumer Goods,17000000000,33147,Ankeny,Iowa,,custom,,tier2_llm_http,low
255,Peter Kiewit Sons',kiewit.com,Other,16800000000,31800,Omaha,Nebraska,https://talent.kiewit.com,successfactors,https://kiewitcareers.kiewit.com/,tier3_llm_browser,medium
